"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"10-26","4 SPEAKERS LANE","8","4","2","0","1","2","0.00%","6500","6","","False","5","1983","1495000","01/30/2023","4049","1401700","20.25","False","COLONIAL","6500",
"10-27","3 SPEAKERS LANE","9","4","3","0","1","2","0.00%","6500","6","","False","5","1981","850000","04/30/2015","4635","1453500","20.56","False","COLONIAL","6500",
"10-28","1 SPEAKERS LANE","9","4","2","0","1","2","0.00%","6500","6","","False","5","1984","1250000","09/02/2022","3575","1243000","24.95","False","COLONIAL","6500",
"10-29","33 WM FAIRFIELD DR","9","4","3","0","0","2","0.00%","6500","6","","False","6","1986","949000","01/15/2019","3156","1318100","19.86","False","COLONIAL","6500",
"10-3","10 DANIELS ROAD","8","4","2","0","1","1","0.00%","2000","6","","False","4","1966","1","08/19/2020","2054","784600","7.24","False","COLONIAL","2000",
"10-30","31 WM FAIRFIELD DR","11","4","2","0","1","3","0.00%","6500","6","","False","6","1985","10","10/31/2017","4065","1373300","-1.39","False","COLONIAL","6500",
"10-31","29 WM FAIRFIELD DR","9","4","3","0","1","2","0.00%","6500","9","","False","6","1986","1020000","03/11/2016","4394","1499100","-3.01","False","CONTEMPORY","6500",
"10-32","27 WM FAIRFIELD DR","9","4","2","0","1","1","0.00%","6500","6","","False","6","1985","533000","12/01/1986","3208","1465100","35.13","False","COLONIAL","6500",
"10-33","26 WM FAIRFIELD DR","11","4","2","0","1","2","0.00%","6500","6","","False","6","1985","0","12/02/1991","3734","1364000","26.72","False","COLONIAL","6500",
"10-34","28 WM FAIRFIELD DR","8","4","2","0","1","2","0.00%","6500","6","","False","6","1986","1","01/05/2018","4233","1439500","8.31","False","COLONIAL","6500",
"10-35","30 WM FAIRFIELD DR","11","4","2","0","1","2","0.00%","6500","6","","False","6","1985","1060000","06/17/2019","3684","1341700","19.91","False","COLONIAL","6500",
"10-36","34 WM FAIRFIELD DR","9","4","3","0","1","2","0.00%","6500","6","","False","6","1981","728000","08/31/2010","4429","1343200","4.46","False","COLONIAL","6500",
"10-37","36 WM FAIRFIELD DR","8","4","2","0","0","1","0.00%","6500","5","","False","6","1983","0","06/01/1983","2378","1267000","25.83","False","CAPE","6500",
"10-38","38 WM FAIRFIELD DR","10","5","3","0","1","4","0.00%","6500","6","","False","6","1987","1","08/28/2023","4708","1538300","17.68","False","COLONIAL","6500",
"10-39","40 WM FAIRFIELD DR","9","4","3","0","1","2","0.00%","6500","6","","False","6","1984","510000","02/01/1993","4718","1459900","8.81","False","COLONIAL","6500",
"10-4","12 DANIELS ROAD","7","4","2","0","0","1","0.00%","2000","18","","False","4","1963","0","06/16/1998","2120","783200","4.51","False","SPLIT ENT","2000",
"10-5","14 DANIELS ROAD","10","4","2","0","1","1","0.00%","2000","6","","False","4","1979","605000","05/03/2016","2403","837200","3.49","False","COLONIAL","2000",
"10-6","16 DANIELS ROAD","8","4","1","0","1","1","0.00%","2000","6","","False","4","1966","710000","07/02/2020","1896","810400","2.09","False","COLONIAL","2000",
"10-7","20 MORGAN STREET","10","5","2","0","1","1","0.00%","6700","5","","False","6","1972","0","01/13/2006","3893","1158600","17.66","False","","6700",
"10-7","20 MORGAN STREET","10","5","2","0","1","1","0.00%","6700","5","","False","6","1972","0","01/13/2006","3893","1158600","17.66","False","CAPE","6700",
"10-8","18 MORGAN STREET","11","4","2","0","2","5","0.00%","6700","6","","False","5","1970","675000","05/16/2012","4108","1090400","14.03","False","COLONIAL","6700",
"10-9","15 MORGAN STREET","10","5","3","0","1","2","0.00%","6700","5","","False","5","1969","895000","06/15/2017","4052","1136500","20.46","False","CAPE","6700",
